field_1,lat,lon,depth,time,orid,evid,julian_date,nass,ndef,ndp,grn,srn,etype,review,depdp,dtype,mb,mbid,ms,msid,ml,mlid,algorithm,auth,commid_x,lddate_x,date,sxx,syy,szz,stt,sxy,sxz,syz,stx,sty,stz,sdobs,smajax,sminax,strike,sdepth,stime,conf,commid_y,lddate_y
113,56.0297,-120.6011,5.2219,1547815368.24,114,114,-1,15,15,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.3,6020,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-18 12:42:48.243190050,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2687,1.199,0.7817,6.97,1.0663,-1,0,-1,1565395763.82
118,56.0579,-120.5056,0.4353,1547820124.5,119,119,-1,6,6,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.42,6025,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-18 14:02:04.504940033,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.1515,2.9905,1.8317,12.75,6.8728,-1,0,-1,1565395763.82
127,56.0726,-120.5999,0.1455,1547877101.68,128,128,-1,5,5,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.31,6034,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-19 05:51:41.678349972,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2453,4.3523,2.8544,238.87,21.948,-1,0,-1,1565395763.82
131,56.0775,-120.584,1,1547902380.74,132,132,-1,6,6,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.53,6038,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-19 12:53:00.737809896,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2501,3.5388,2.3391,28.5,0,-1,0,-1,1565395763.82
136,56.073,-120.505,1,1547912205.28,137,137,-1,10,10,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.71,6043,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-19 15:36:45.281019926,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.3596,1.9818,1.3587,345.55,0,-1,0,-1,1565395763.82
151,56.0543,-120.4873,0.4977,1548068495.41,152,152,-1,16,16,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.14,6058,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-21 11:01:35.411849976,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.3475,1.2805,0.563,17.53,2.7446,-1,0,-1,1565395763.82
152,56.0537,-120.4734,1,1548082437.68,153,153,-1,9,9,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.6,6059,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-21 14:53:57.681090117,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.3123,1.9895,1.19,345.6,0,-1,0,-1,1565395763.82
153,56.073,-120.5039,1,1548087225.62,154,154,-1,14,14,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.56,6060,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-21 16:13:45.621419907,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2918,1.6642,1.1675,350.49,0,-1,0,-1,1565395763.82
156,56.0615,-120.4689,1,1548110757.98,157,157,-1,24,24,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.99,6063,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-21 22:45:57.984299898,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.363,0.788,0.4942,26.4,0,-1,0,-1,1565395763.82
162,56.0821,-120.5916,0.1451,1548139934.96,163,163,-1,8,8,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.37,6069,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-22 06:52:14.956549883,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.1665,2.8178,1.7988,310.9,16.7541,-1,0,-1,1565395763.82
182,56.068,-120.6033,1,1548244548.26,183,183,-1,8,8,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.64,6089,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-23 11:55:48.262319803,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.3332,3.2023,1.9645,15.43,0,-1,0,-1,1565395763.82
183,56.0706,-120.5801,1,1548247923.29,184,184,-1,9,9,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.29,6090,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-23 12:52:03.293609858,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2186,3.1605,1.8463,19.01,0,-1,0,-1,1565395763.82
184,56.0586,-120.5997,0.1447,1548249276.41,185,185,-1,6,6,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.18,6091,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-23 13:14:36.414780140,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2144,3.2349,2.9685,329.44,19.8252,-1,0,-1,1565395763.82
193,56.068,-120.6004,1,1548289143.88,194,194,-1,8,8,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.2,6100,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-24 00:19:03.875020027,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2641,3.2005,1.9603,15.28,0,-1,0,-1,1565395763.82
196,56.0744,-120.5682,1,1548297564.45,197,197,-1,6,6,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.36,6103,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-24 02:39:24.446219921,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2784,3.4971,2.3299,28.24,0,-1,0,-1,1565395763.82
198,56.0478,-120.6105,8.008,1548319527.68,199,199,-1,10,9,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.21,6105,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-24 08:45:27.678189993,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.3204,1.9264,1.2444,329.93,1.1377,-1,0,-1,1565395763.82
205,56.071,-120.5707,1,1548377856.24,206,206,-1,6,6,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.23,6112,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-25 00:57:36.235249996,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2036,3.3952,2.3267,26.04,0,-1,0,-1,1565395763.82
214,56.0738,-120.5302,1,1548421125.93,215,215,-1,10,10,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.44,6121,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-25 12:58:45.933359861,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2991,2.1125,1.307,346.3,0,-1,0,-1,1565395763.82
216,56.0478,-120.6049,6.3171,1548439774.15,217,217,-1,10,10,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.88,6123,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-25 18:09:34.152050018,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.1835,1.862,1.1271,340.29,1.8284,-1,0,-1,1565395763.82
247,56.0434,-120.6092,9.2396,1548600543.59,248,248,-1,11,11,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.18,6154,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-27 14:49:03.589159966,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.1777,1.682,0.9643,352.1,1.0547,-1,0,-1,1565395763.82
266,56.0409,-120.6072,8.4322,1548606659.51,267,267,-1,10,10,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.42,6173,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-27 16:30:59.506940126,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.1901,2.0803,0.9295,357.27,0.9721,-1,0,-1,1565395763.82
332,56.1109,-120.4814,1.0665,1549083896.51,333,333,-1,5,5,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.37,6239,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-02-02 05:04:56.514559984,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.3938,9.2937,1.5994,44.41,23.938,-1,0,-1,1565395763.82
399,56.0239,-120.3674,5.5135,1549145824.59,400,400,-1,7,7,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.32,6306,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-02-02 22:17:04.591200113,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2121,2.1605,1.2712,29.28,1.3321,-1,0,-1,1565395763.82
454,56.0262,-120.3575,8.1497,1549162713.54,455,455,-1,8,8,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,-0.04,6361,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-02-03 02:58:33.538259983,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2385,2.2386,1.4896,40.74,1.0514,-1,0,-1,1565395763.82
456,56.0353,-120.3562,7.6266,1549164549.47,457,457,-1,8,8,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,-0.16,6363,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-02-03 03:29:09.467980146,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.1913,2.2989,1.5163,37.88,1.0306,-1,0,-1,1565395763.82
669,56.0486,-120.5007,1.3645,1549226981.86,670,670,-1,11,11,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.22,6576,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-02-03 20:49:41.856469870,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.3588,1.9211,1.0515,340.64,2.2375,-1,0,-1,1565395763.82
675,56.0256,-120.5505,1,1549227558.66,676,676,-1,10,10,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.23,6582,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-02-03 20:59:18.655600071,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2235,2.0085,1.4658,298.41,0,-1,0,-1,1565395763.82
738,56.0289,-120.3631,7.918,1549247884.67,739,739,-1,8,8,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.37,6645,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-02-04 02:38:04.670369864,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.3039,2.252,1.4877,37.84,1.0551,-1,0,-1,1565395763.82
