,lat,lon,depth,time,orid,evid,julian_date,nass,ndef,ndp,grn,srn,etype,review,depdp,dtype,mb,mbid,ms,msid,ml,mlid,algorithm,auth,commid_x,lddate_x,date,sxx,syy,szz,stt,sxy,sxz,syz,stx,sty,stz,sdobs,smajax,sminax,strike,sdepth,stime,conf,commid_y,lddate_y
6278,56.0034,-120.445,4.125,1549880721.09628,6279,6279,-1,7,7,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.1,12181,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 10:25:21.096280098,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6279,55.9978,-120.425,2.25,1549880759.14525,6280,6280,-1,16,16,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.36,12182,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 10:25:59.145250082,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6280,55.9894,-120.425,2.5625,1549880846.55064,6281,6281,-1,7,7,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.15,12183,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 10:27:26.550640106,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6281,55.9894,-120.41,0.625,1549882032.48233,6282,6282,-1,18,18,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.61,12184,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 10:47:12.482330084,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6282,55.9922,-120.42,1.625,1549882612.8473802,6283,6283,-1,8,8,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.17,12185,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 10:56:52.847380161,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6283,56.0063,-120.4,0.0,1549883233.00333,6284,6284,-1,13,13,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.26,12186,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 11:07:13.003329992,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6284,55.9838,-120.48,1.0,1549883696.8632,6285,6285,-1,6,6,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.03,12187,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 11:14:56.863199949,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6285,56.0034,-120.44,4.125,1549883864.8045402,6286,6286,-1,7,7,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.03,12188,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 11:17:44.804540157,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6286,55.9894,-120.43,0.625,1549884106.76659,6287,6287,-1,15,15,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.11,12189,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 11:21:46.766590118,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6287,55.9894,-120.41,1.625,1549884189.20367,6288,6288,-1,18,18,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.51,12190,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 11:23:09.203670025,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6288,55.9922,-120.435,2.875,1549884873.3173802,6289,6289,-1,6,6,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.12,12191,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 11:34:33.317380190,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6289,55.995,-120.425,1.625,1549885557.00525,6290,6290,-1,13,13,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.27,12192,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 11:45:57.005249977,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6290,55.995,-120.42,0.0,1549885957.21064,6291,6291,-1,18,18,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.55,12193,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 11:52:37.210639954,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6291,55.9838,-120.43,1.625,1549886043.63794,6292,6292,-1,8,8,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.23,12194,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 11:54:03.637939930,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6292,56.0006,-120.42,0.0,1549886166.98064,6293,6293,-1,20,20,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.31,12195,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 11:56:06.980639935,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6293,55.995,-120.44,0.0,1549887405.85077,6294,6294,-1,12,12,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.11,12196,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 12:16:45.850769997,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6294,56.0034,-120.465,4.4375,1549887663.35375,6295,6295,-1,6,6,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.07,12197,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 12:21:03.353749990,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6295,55.9838,-120.435,2.25,1549887819.03266,6296,6296,-1,6,6,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,-0.13,12198,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 12:23:39.032660006,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6296,55.9922,-120.435,1.9375,1549887936.1679401,6297,6297,-1,18,18,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.39,12199,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 12:25:36.167940140,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6297,55.9922,-120.425,2.5625,1549889006.2746801,6298,6298,-1,15,15,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.48,12200,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 12:43:26.274680138,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6298,55.995,-120.42,2.25,1549890607.21222,6299,6299,-1,18,18,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.44,12201,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 13:10:07.212219954,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6299,56.0034,-120.405,3.1875,1549892039.17272,6300,6300,-1,19,19,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,1.21,12202,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 13:33:59.172719955,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6300,56.0569,-120.44,3.1875,1549892122.7199302,6301,6301,-1,16,16,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.67,12203,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 13:35:22.719930172,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
6301,55.9922,-120.42,1.9375,1549892651.19178,6302,6302,-1,9,9,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.38,12204,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-02-11 13:44:11.191780090,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,1565395763.81561
